,index,id,imdb_id,title,type,genres,production_countries,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
6677,6677,tm188442,tt1408101,Star Trek Into Darkness,MOVIE,action,US,2013.0,132.0,7.7,479226.0,48.63,7.3
6678,6678,tm188442,tt1408101,Star Trek Into Darkness,MOVIE,scifi,US,2013.0,132.0,7.7,479226.0,48.63,7.3
6679,6679,tm188577,tt0070215,My Name Is Nobody,MOVIE,comedy,DE,1973.0,117.0,7.3,26763.0,9.26,7.3
6680,6680,tm188577,tt0070215,My Name Is Nobody,MOVIE,comedy,FR,1973.0,117.0,7.3,26763.0,9.26,7.3
6681,6681,tm188577,tt0070215,My Name Is Nobody,MOVIE,comedy,IT,1973.0,117.0,7.3,26763.0,9.26,7.3
6682,6682,tm188577,tt0070215,My Name Is Nobody,MOVIE,european,DE,1973.0,117.0,7.3,26763.0,9.26,7.3
6683,6683,tm188577,tt0070215,My Name Is Nobody,MOVIE,european,FR,1973.0,117.0,7.3,26763.0,9.26,7.3
6684,6684,tm188577,tt0070215,My Name Is Nobody,MOVIE,european,IT,1973.0,117.0,7.3,26763.0,9.26,7.3
6685,6685,tm188577,tt0070215,My Name Is Nobody,MOVIE,western,DE,1973.0,117.0,7.3,26763.0,9.26,7.3
6686,6686,tm188577,tt0070215,My Name Is Nobody,MOVIE,western,FR,1973.0,117.0,7.3,26763.0,9.26,7.3
6687,6687,tm188577,tt0070215,My Name Is Nobody,MOVIE,western,IT,1973.0,117.0,7.3,26763.0,9.26,7.3
6688,6688,tm188698,tt0070337,Lost Horizon,MOVIE,drama,US,1973.0,150.0,5.2,2581.0,9.01,5.4
6689,6689,tm188698,tt0070337,Lost Horizon,MOVIE,fantasy,US,1973.0,150.0,5.2,2581.0,9.01,5.4
6690,6690,tm188698,tt0070337,Lost Horizon,MOVIE,romance,US,1973.0,150.0,5.2,2581.0,9.01,5.4
6691,6691,tm188712,tt2724064,Sharknado,MOVIE,action,US,2013.0,86.0,3.3,49174.0,15.047,3.9000000000000004
6692,6692,tm188712,tt2724064,Sharknado,MOVIE,comedy,US,2013.0,86.0,3.3,49174.0,15.047,3.9000000000000004
6693,6693,tm188712,tt2724064,Sharknado,MOVIE,fantasy,US,2013.0,86.0,3.3,49174.0,15.047,3.9000000000000004
6694,6694,tm188712,tt2724064,Sharknado,MOVIE,horror,US,2013.0,86.0,3.3,49174.0,15.047,3.9000000000000004
6695,6695,tm188712,tt2724064,Sharknado,MOVIE,scifi,US,2013.0,86.0,3.3,49174.0,15.047,3.9000000000000004
6696,6696,tm188712,tt2724064,Sharknado,MOVIE,thriller,US,2013.0,86.0,3.3,49174.0,15.047,3.9000000000000004
6697,6697,tm188730,tt0069980,Divorce His - Divorce Hers,MOVIE,drama,GB,1973.0,180.0,5.2,396.0,1.274,3.5
6698,6698,tm188730,tt0069980,Divorce His - Divorce Hers,MOVIE,drama,US,1973.0,180.0,5.2,396.0,1.274,3.5
6699,6699,tm188730,tt0069980,Divorce His - Divorce Hers,MOVIE,romance,GB,1973.0,180.0,5.2,396.0,1.274,3.5
6700,6700,tm188730,tt0069980,Divorce His - Divorce Hers,MOVIE,romance,US,1973.0,180.0,5.2,396.0,1.274,3.5
6701,6701,tm188785,tt0069825,Brothers O'Toole,MOVIE,comedy,US,1973.0,95.0,4.5,170.0,1.082,10.0
6702,6702,tm188785,tt0069825,Brothers O'Toole,MOVIE,western,US,1973.0,95.0,4.5,170.0,1.082,10.0
6703,6703,tm188814,tt0068424,The Creeping Flesh,MOVIE,horror,GB,1973.0,92.0,6.200000000000001,3835.0,4.746,6.1
6704,6704,tm188814,tt0068424,The Creeping Flesh,MOVIE,scifi,GB,1973.0,92.0,6.200000000000001,3835.0,4.746,6.1
6705,6705,tm188885,tt0071396,Messiah of Evil,MOVIE,horror,US,1973.0,90.0,6.4,4234.0,4.456,6.4
6706,6706,tm188888,tt3088364,"Bad, Black & Beautiful",MOVIE,action,US,1975.0,83.0,3.4,38.0,1.207,2.0
6707,6707,tm188940,tt0058104,Flight from Ashiya,MOVIE,drama,JP,1964.0,100.0,5.299999999999999,588.0,1.658,5.700000000000001
6708,6708,tm188940,tt0058104,Flight from Ashiya,MOVIE,drama,US,1964.0,100.0,5.299999999999999,588.0,1.658,5.700000000000001
6709,6709,tm188940,tt0058104,Flight from Ashiya,MOVIE,romance,JP,1964.0,100.0,5.299999999999999,588.0,1.658,5.700000000000001
6710,6710,tm188940,tt0058104,Flight from Ashiya,MOVIE,romance,US,1964.0,100.0,5.299999999999999,588.0,1.658,5.700000000000001
6711,6711,tm188940,tt0058104,Flight from Ashiya,MOVIE,war,JP,1964.0,100.0,5.299999999999999,588.0,1.658,5.700000000000001
6712,6712,tm188940,tt0058104,Flight from Ashiya,MOVIE,war,US,1964.0,100.0,5.299999999999999,588.0,1.658,5.700000000000001
6713,6713,tm188941,tt0107282,The Joy Luck Club,MOVIE,drama,CN,1993.0,139.0,7.7,16507.0,7.942,7.2
6714,6714,tm188941,tt0107282,The Joy Luck Club,MOVIE,drama,US,1993.0,139.0,7.7,16507.0,7.942,7.2
6715,6715,tm18896,tt0047276,New Faces,MOVIE,comedy,US,1954.0,98.0,5.8,155.0,1.89,6.3
