,index,id,imdb_id,title,type,genres,production_countries,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
6840,6840,tm191188,tt0069968,The Devil and Leroy Bassett,MOVIE,action,US,1973.0,85.0,4.0,76.0,0.6,4.0
6841,6841,tm191188,tt0069968,The Devil and Leroy Bassett,MOVIE,drama,US,1973.0,85.0,4.0,76.0,0.6,4.0
6842,6842,tm19145,tt0262682,Wilderness Love,MOVIE,comedy,US,2000.0,89.0,6.4,562.0,3.185,5.3
6843,6843,tm19145,tt0262682,Wilderness Love,MOVIE,family,US,2000.0,89.0,6.4,562.0,3.185,5.3
6844,6844,tm19145,tt0262682,Wilderness Love,MOVIE,romance,US,2000.0,89.0,6.4,562.0,3.185,5.3
6845,6845,tm191544,tt0119746,The Myth of Fingerprints,MOVIE,comedy,US,1997.0,93.0,6.0,2608.0,3.567,4.6
6846,6846,tm191544,tt0119746,The Myth of Fingerprints,MOVIE,drama,US,1997.0,93.0,6.0,2608.0,3.567,4.6
6847,6847,tm191544,tt0119746,The Myth of Fingerprints,MOVIE,romance,US,1997.0,93.0,6.0,2608.0,3.567,4.6
6848,6848,tm191600,tt0120350,Too Close To Home,MOVIE,crime,US,1997.0,115.0,6.1,336.0,2.598,4.5
6849,6849,tm191600,tt0120350,Too Close To Home,MOVIE,drama,US,1997.0,115.0,6.1,336.0,2.598,4.5
6850,6850,tm191600,tt0120350,Too Close To Home,MOVIE,thriller,US,1997.0,115.0,6.1,336.0,2.598,4.5
6851,6851,tm191604,tt0113223,Grizzly Mountain,MOVIE,action,US,1997.0,96.0,5.1,264.0,1.571,
6852,6852,tm191604,tt0113223,Grizzly Mountain,MOVIE,family,US,1997.0,96.0,5.1,264.0,1.571,
6853,6853,tm191604,tt0113223,Grizzly Mountain,MOVIE,fantasy,US,1997.0,96.0,5.1,264.0,1.571,
6854,6854,tm191604,tt0113223,Grizzly Mountain,MOVIE,scifi,US,1997.0,96.0,5.1,264.0,1.571,
6855,6855,tm191604,tt0113223,Grizzly Mountain,MOVIE,western,US,1997.0,96.0,5.1,264.0,1.571,
6856,6856,tm191725,tt2373648,Raasi,MOVIE,drama,IN,1997.0,143.0,5.1,164.0,0.923,
6857,6857,tm191725,tt2373648,Raasi,MOVIE,family,IN,1997.0,143.0,5.1,164.0,0.923,
6858,6858,tm19179,tt0044386,Robinson Crusoe,MOVIE,action,MX,1954.0,90.0,6.7,4029.0,5.033,6.2
6859,6859,tm19179,tt0044386,Robinson Crusoe,MOVIE,drama,MX,1954.0,90.0,6.7,4029.0,5.033,6.2
6860,6860,tm19179,tt0044386,Robinson Crusoe,MOVIE,family,MX,1954.0,90.0,6.7,4029.0,5.033,6.2
